        # step       J       T       B             H             M           chi
         10000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         10100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         10200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         10300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         10400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         10500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         10600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         10700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         10800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         10900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         11000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         11100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         11200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         11300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         11400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         11500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         11600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         11700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         11800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         11900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         12000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         12100     1.0     1.0     2.0   -142.000000      0.960000      0.078400
         12200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         12300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         12400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         12500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         12600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         12700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         12800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         12900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         13000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         13100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         13200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         13300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         13400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         13500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         13600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         13700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         13800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         13900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         14000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         14100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         14200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         14300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         14400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         14500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         14600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         14700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         14800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         14900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         15000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         15100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         15200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         15300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         15400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         15500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         15600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         15700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         15800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
